[nm];[A];norm A
;Probe 1;
350;0,3151;0,236863865
350,5;0,3187;0,239570022
351;0,3222;0,242201007
351,5;0,3258;0,244907164
352;0,3292;0,247462978
352,5;0,3325;0,249943622
353;0,3363;0,25280012
353,5;0,34;0,255581448
354;0,3441;0,258663459
354,5;0,3478;0,261444787
355;0,3514;0,264150943
355,5;0,3551;0,266932271
356;0,3595;0,270239796
356,5;0,3637;0,273396978
357;0,3676;0,276328648
357,5;0,3717;0,279410659
358;0,3756;0,282342329
358,5;0,3799;0,285574682
359;0,384;0,288656694
359,5;0,3883;0,291889048
360;0,3924;0,294971059
360,5;0,3971;0,298504097
361;0,4012;0,301586108
361,5;0,4055;0,304818462
362;0,41;0,308201158
362,5;0,4146;0,311659024
363;0,4189;0,314891378
363,5;0,4233;0,318198903
364;0,4277;0,321506427
364,5;0,4323;0,324964294
365;0,4371;0,328572502
365,5;0,4414;0,331804856
366;0,4461;0,335337894
366,5;0,4511;0,339096444
367;0,456;0,342779824
367,5;0,4609;0,346463204
368;0,4656;0,349996241
368,5;0,4705;0,353679621
369;0,4755;0,357438172
369,5;0,4811;0,361647749
370;0,4861;0,365406299
370,5;0,4919;0,369766218
371;0,4972;0,373750282
371,5;0,5029;0,37803503
372;0,5083;0,382094264
372,5;0,5137;0,386153499
373;0,5191;0,390212734
373,5;0,525;0,394647824
374;0,5305;0,39878223
374,5;0,5368;0,403518003
375;0,543;0,408178606
375,5;0,549;0,412688867
376;0,5556;0,417650154
376,5;0,562;0,422461099
377;0,5688;0,427572728
377,5;0,5755;0,432609186
378;0,5825;0,437871157
378,5;0,5894;0,443057957
379;0,5964;0,448319928
379,5;0,6038;0,453882583
380;0,6115;0,459670751
380,5;0,619;0,465308577
381;0,6266;0,471021574
381,5;0,6348;0,477185597
382;0,6431;0,483424791
382,5;0,6515;0,489739157
383;0,6598;0,495978351
383,5;0,669;0,502894084
384;0,6776;0,509358791
384,5;0,6866;0,516124183
385;0,6957;0,522964745
385,5;0,705;0,529955649
386;0,7145;0,537096895
386,5;0,7238;0,5440878
387;0,7334;0,551304217
387,5;0,743;0,558520634
388;0,7529;0,565962565
388,5;0,7624;0,573103811
389;0,7719;0,580245058
389,5;0,7816;0,587536646
390;0,7907;0,594377208
390,5;0,8003;0,601593625
391;0,8098;0,608734872
391,5;0,8187;0,615425092
392;0,8277;0,622190483
392,5;0,8363;0,628655191
393;0,8446;0,634894385
393,5;0,8528;0,641058408
394;0,8606;0,646921747
394,5;0,8678;0,65233406
395;0,8751;0,657821544
395,5;0,8818;0,662858002
396;0,8873;0,666992408
396,5;0,8929;0,671201985
397;0,8984;0,67533639
397,5;0,9024;0,678343231
398;0,9061;0,681124558
398,5;0,9094;0,683605202
399;0,9117;0,685334135
399,5;0,9137;0,686837555
400;0,915;0,687814779
400,5;0,9156;0,688265805
401;0,9152;0,687965121
401,5;0,9147;0,687589266
402;0,9129;0,686236187
402,5;0,911;0,684807938
403;0,9086;0,683003834
403,5;0,9053;0,68052319
404;0,9014;0,677591521
404,5;0,8973;0,674509509
405;0,8924;0,670826129
405,5;0,8872;0,666917237
406;0,8816;0,66270766
406,5;0,8762;0,658648425
407;0,8696;0,653687138
407,5;0,8633;0,648951364
408;0,8567;0,643990077
408,5;0,8498;0,638803277
409;0,8431;0,63376682
409,5;0,8357;0,628204164
410;0,8284;0,62271668
410,5;0,8212;0,617304367
411;0,8139;0,611816883
411,5;0,8063;0,606103886
412;0,7992;0,600766744
412,5;0,7916;0,595053747
413;0,7838;0,589190408
413,5;0,7768;0,583928437
414;0,7691;0,578140269
414,5;0,7619;0,572727956
415;0,7542;0,566939788
415,5;0,7468;0,561377133
416;0,7392;0,555664136
416,5;0,7318;0,550101481
417;0,7245;0,544613997
417,5;0,7171;0,539051342
418;0,7096;0,533413516
418,5;0,7024;0,528001203
419;0,6951;0,522513719
419,5;0,6877;0,516951064
420;0,6805;0,511538751
420,5;0,673;0,505900925
421;0,6659;0,500563783
421,5;0,6589;0,495301812
422;0,6516;0,489814328
422,5;0,6444;0,484402015
423;0,6373;0,479064873
423,5;0,6303;0,473802902
424;0,6233;0,468540931
424,5;0,6166;0,463504473
425;0,6098;0,458392844
425,5;0,603;0,453281215
426;0,5965;0,448395099
426,5;0,5902;0,443659325
427;0,5837;0,438773209
427,5;0,5776;0,434187777
428;0,5715;0,429602345
428,5;0,5655;0,425092084
429;0,5597;0,420732166
429,5;0,5541;0,416522589
430;0,5486;0,412388183
430,5;0,5432;0,408328948
431;0,5381;0,404495227
431,5;0,5329;0,400586334
432;0,5281;0,396978125
432,5;0,5233;0,393369917
433;0,5188;0,389987221
433,5;0,5144;0,386679696
434;0,5099;0,383297001
434,5;0,5059;0,38029016
435;0,5021;0,377433662
435,5;0,4981;0,374426821
436;0,4944;0,371645493
436,5;0,4906;0,368788995
437;0,4872;0,36623318
437,5;0,484;0,363827708
438;0,4807;0,361347065
438,5;0,4776;0,359016763
439;0,4746;0,356761633
439,5;0,4717;0,354581673
440;0,4689;0,352476885
440,5;0,4664;0,35059761
441;0,4638;0,348643163
441,5;0,4614;0,346839059
442;0,4588;0,344884612
442,5;0,4567;0,343306021
443;0,4545;0,341652259
443,5;0,4523;0,339998497
444;0,4502;0,338419905
444,5;0,4482;0,336916485
445;0,4462;0,335413065
445,5;0,4442;0,333909644
446;0,4423;0,332481395
446,5;0,4403;0,330977975
447;0,4386;0,329700068
447,5;0,4366;0,328196647
448;0,4346;0,326693227
448,5;0,4329;0,32541532
449;0,4308;0,323836729
449,5;0,4289;0,322408479
450;0,427;0,32098023
450,5;0,4251;0,319551981
451;0,4232;0,318123731
