[nm]	norm A
	
350	0.236863865
350.5	0.239570022
351	0.242201007
351.5	0.244907164
352	0.247462978
352.5	0.249943622
353	0.25280012
353.5	0.255581448
354	0.258663459
354.5	0.261444787
355	0.264150943
355.5	0.266932271
356	0.270239796
356.5	0.273396978
357	0.276328648
357.5	0.279410659
358	0.282342329
358.5	0.285574682
359	0.288656694
359.5	0.291889048
360	0.294971059
360.5	0.298504097
361	0.301586108
361.5	0.304818462
362	0.308201158
362.5	0.311659024
363	0.314891378
363.5	0.318198903
364	0.321506427
364.5	0.324964294
365	0.328572502
365.5	0.331804856
366	0.335337894
366.5	0.339096444
367	0.342779824
367.5	0.346463204
368	0.349996241
368.5	0.353679621
369	0.357438172
369.5	0.361647749
370	0.365406299
370.5	0.369766218
371	0.373750282
371.5	0.37803503
372	0.382094264
372.5	0.386153499
373	0.390212734
373.5	0.394647824
374	0.39878223
374.5	0.403518003
375	0.408178606
375.5	0.412688867
376	0.417650154
376.5	0.422461099
377	0.427572728
377.5	0.432609186
378	0.437871157
378.5	0.443057957
379	0.448319928
379.5	0.453882583
380	0.459670751
380.5	0.465308577
381	0.471021574
381.5	0.477185597
382	0.483424791
382.5	0.489739157
383	0.495978351
383.5	0.502894084
384	0.509358791
384.5	0.516124183
385	0.522964745
385.5	0.529955649
386	0.537096895
386.5	0.5440878
387	0.551304217
387.5	0.558520634
388	0.565962565
388.5	0.573103811
389	0.580245058
389.5	0.587536646
390	0.594377208
390.5	0.601593625
391	0.608734872
391.5	0.615425092
392	0.622190483
392.5	0.628655191
393	0.634894385
393.5	0.641058408
394	0.646921747
394.5	0.65233406
395	0.657821544
395.5	0.662858002
396	0.666992408
396.5	0.671201985
397	0.67533639
397.5	0.678343231
398	0.681124558
398.5	0.683605202
399	0.685334135
399.5	0.686837555
400	0.687814779
400.5	0.688265805
401	0.687965121
401.5	0.687589266
402	0.686236187
402.5	0.684807938
403	0.683003834
403.5	0.68052319
404	0.677591521
404.5	0.674509509
405	0.670826129
405.5	0.666917237
406	0.66270766
406.5	0.658648425
407	0.653687138
407.5	0.648951364
408	0.643990077
408.5	0.638803277
409	0.63376682
409.5	0.628204164
410	0.62271668
410.5	0.617304367
411	0.611816883
411.5	0.606103886
412	0.600766744
412.5	0.595053747
413	0.589190408
413.5	0.583928437
414	0.578140269
414.5	0.572727956
415	0.566939788
415.5	0.561377133
416	0.555664136
416.5	0.550101481
417	0.544613997
417.5	0.539051342
418	0.533413516
418.5	0.528001203
419	0.522513719
419.5	0.516951064
420	0.511538751
420.5	0.505900925
421	0.500563783
421.5	0.495301812
422	0.489814328
422.5	0.484402015
423	0.479064873
423.5	0.473802902
424	0.468540931
424.5	0.463504473
425	0.458392844
425.5	0.453281215
426	0.448395099
426.5	0.443659325
427	0.438773209
427.5	0.434187777
428	0.429602345
428.5	0.425092084
429	0.420732166
429.5	0.416522589
430	0.412388183
430.5	0.408328948
431	0.404495227
431.5	0.400586334
432	0.396978125
432.5	0.393369917
433	0.389987221
433.5	0.386679696
434	0.383297001
434.5	0.38029016
435	0.377433662
435.5	0.374426821
436	0.371645493
436.5	0.368788995
437	0.36623318
437.5	0.363827708
438	0.361347065
438.5	0.359016763
439	0.356761633
439.5	0.354581673
440	0.352476885
440.5	0.35059761
441	0.348643163
441.5	0.346839059
442	0.344884612
442.5	0.343306021
443	0.341652259
443.5	0.339998497
444	0.338419905
444.5	0.336916485
445	0.335413065
445.5	0.333909644
446	0.332481395
446.5	0.330977975
447	0.329700068
447.5	0.328196647
448	0.326693227
448.5	0.32541532
449	0.323836729
449.5	0.322408479
450	0.32098023
450.5	0.319551981
451	0.318123731
451.5	0.316620311
452	0.315192062
452.5	0.313763813
453	0.312410734
453.5	0.311057656
454	0.309629407
454.5	0.308276329
455	0.306998421
455.5	0.305720514
456	0.304517778
456.5	0.303315042
457	0.302112305
457.5	0.30098474
458	0.300082688
458.5	0.299105465
459	0.298203413
459.5	0.297301361
460	0.29654965
460.5	0.295722769
461	0.295196572
461.5	0.294520033
462	0.294069007
462.5	0.29354281
463	0.293091784
463.5	0.292715929
464	0.292340074
464.5	0.292114561
465	0.291889048
465.5	0.291588364
466	0.291513193
466.5	0.291438021
467	0.291438021
467.5	0.29136285
468	0.291287679
468.5	0.291438021
469	0.291438021
469.5	0.291588364
470	0.291663535
470.5	0.291889048
471	0.29203939
471.5	0.292189732
472	0.292490416
472.5	0.292715929
473	0.292941442
473.5	0.293242126
474	0.293467639
474.5	0.293768323
475	0.294069007
475.5	0.294369691
476	0.294745546
476.5	0.29504623
477	0.295346914
477.5	0.295722769
478	0.296023453
478.5	0.296399308
479	0.296775163
479.5	0.297075848
480	0.297451703
480.5	0.297827558
481	0.298278584
481.5	0.298579268
482	0.298955123
482.5	0.299330978
483	0.299706833
483.5	0.300082688
484	0.300458543
484.5	0.300834398
485	0.301210253
485.5	0.301661279
486	0.302112305
486.5	0.302488161
487	0.302864016
487.5	0.303239871
488	0.303690897
488.5	0.304066752
489	0.304592949
489.5	0.305043975
490	0.305495001
490.5	0.305946027
491	0.306397053
491.5	0.30692325
492	0.307374276
492.5	0.307975645
493	0.308426671
493.5	0.309028039
494	0.309629407
494.5	0.310230775
495	0.310832143
495.5	0.311433511
496	0.31211005
496.5	0.312786589
497	0.313463129
497.5	0.314139668
498	0.314891378
498.5	0.315718259
499	0.31654514
499.5	0.317372021
500	0.318274074
500.5	0.319251297
501	0.320303691
501.5	0.321356085
502	0.32248365
502.5	0.323611216
503	0.324889123
503.5	0.326242201
504	0.327520108
504.5	0.328948358
505	0.330376607
505.5	0.331880027
506	0.333383447
506.5	0.334886868
507	0.33654063
507.5	0.338119221
508	0.339697813
508.5	0.341276404
509	0.342854995
509.5	0.344508757
510	0.346087349
510.5	0.347741111
511	0.349244531
511.5	0.350898294
512	0.352552056
512.5	0.354205818
513	0.355859581
513.5	0.357588514
514	0.359317447
514.5	0.361196723
515	0.363075998
515.5	0.364955273
516	0.366984891
516.5	0.369014508
517	0.371194467
517.5	0.373374427
518	0.375554386
518.5	0.377959859
519	0.38029016
519.5	0.382695633
520	0.385176276
520.5	0.387732091
521	0.390363076
521.5	0.392994061
522	0.395625047
522.5	0.398406375
523	0.40103736
523.5	0.403818688
524	0.406675186
524.5	0.409456514
525	0.412313012
525.5	0.415169511
526	0.41810118
526.5	0.42103285
527	0.42403969
527.5	0.427046531
528	0.430053371
528.5	0.433060212
529	0.436142224
529.5	0.439149064
530	0.442306247
530.5	0.445388258
531	0.44847027
531.5	0.451627452
532	0.454784635
532.5	0.457941818
533	0.461174171
533.5	0.464406525
534	0.467714049
534.5	0.471021574
535	0.474329099
535.5	0.477711794
536	0.48109449
536.5	0.484477186
537	0.487935052
537.5	0.491392919
538	0.494850786
538.5	0.498383823
539	0.501916861
539.5	0.50552507
540	0.509133278
540.5	0.512741487
541	0.516424867
541.5	0.520033075
542	0.523866797
542.5	0.527550177
543	0.531308727
543.5	0.535067278
544	0.538901
544.5	0.54265955
545	0.546493272
545.5	0.550326994
546	0.554235887
546.5	0.558144779
547	0.562128843
547.5	0.566037736
548	0.570096971
548.5	0.574081034
549	0.578140269
549.5	0.582199504
550	0.586258739
550.5	0.590393144
551	0.59452755
551.5	0.598661956
552	0.602796362
552.5	0.607005939
553	0.611215515
553.5	0.615349921
554	0.619559498
554.5	0.623769075
555	0.628053822
555.5	0.63233857
556	0.636623318
556.5	0.640832895
557	0.645117643
557.5	0.64940239
558	0.653611967
558.5	0.657821544
559	0.662106292
559.5	0.66639104
560	0.670600616
560.5	0.674810193
561	0.679094941
561.5	0.683379689
562	0.687664437
562.5	0.691949184
563	0.696233932
563.5	0.70051868
564	0.704803428
564.5	0.709088176
565	0.713372923
565.5	0.7175825
566	0.721716906
566.5	0.726001654
567	0.73013606
567.5	0.734345636
568	0.738555213
568.5	0.742614448
569	0.746748854
569.5	0.750883259
570	0.754942494
570.5	0.759001729
571	0.763060964
571.5	0.767045027
572	0.77095392
572.5	0.774937984
573	0.778846877
573.5	0.782605427
574	0.786439149
574.5	0.790272871
575	0.794106592
575.5	0.797940314
576	0.801698865
576.5	0.805382245
577	0.809065624
577.5	0.812749004
578	0.816357213
578.5	0.819965421
579	0.823498459
579.5	0.826956326
580	0.830414192
580.5	0.833872059
581	0.837254755
581.5	0.84063745
582	0.843944975
582.5	0.84732767
583	0.850484853
583.5	0.853792378
584	0.856874389
584.5	0.860106743
585	0.863263925
585.5	0.866195595
586	0.869127265
586.5	0.872134105
587	0.874915433
587.5	0.87769676
588	0.88062843
588.5	0.883259415
589	0.886040743
589.5	0.888746899
590	0.891453056
590.5	0.89400887
591	0.896639856
591.5	0.89919567
592	0.901676314
592.5	0.904156957
593	0.906487259
593.5	0.909043073
594	0.911223032
594.5	0.913553334
595	0.915733293
595.5	0.917913253
596	0.920093212
596.5	0.922273171
597	0.92437796
597.5	0.926407577
598	0.928437195
598.5	0.930391641
599	0.932270916
599.5	0.934075021
600	0.935803954
600.5	0.937608058
601	0.939336992
601.5	0.941216267
602	0.942794858
602.5	0.944448621
603	0.946102383
603.5	0.947605803
604	0.949259566
604.5	0.950838157
605	0.952266406
605.5	0.953769826
606	0.955198076
606.5	0.956701496
607	0.958054574
607.5	0.959332481
608	0.960610389
608.5	0.961963467
609	0.963166203
609.5	0.964293768
610	0.965571676
610.5	0.966774412
611	0.967901977
611.5	0.968954371
612	0.970006765
612.5	0.970983989
613	0.971961212
613.5	0.973013606
614	0.973915658
614.5	0.974968052
615	0.975794933
615.5	0.976696986
616	0.977599038
616.5	0.978425919
617	0.979102458
617.5	0.979929339
618	0.98075622
618.5	0.981583102
619	0.982334812
619.5	0.983086522
620	0.983838232
620.5	0.984514771
621	0.985116139
621.5	0.985792678
622	0.986318875
622.5	0.987070586
623	0.987596783
623.5	0.988273322
624	0.98887469
624.5	0.989400887
625	0.989927084
625.5	0.990302939
626	0.990904307
626.5	0.991280162
627	0.991956701
627.5	0.992257386
628	0.992633241
628.5	0.993159438
629	0.993460122
629.5	0.993835977
630	0.994287003
630.5	0.994587687
631	0.994888371
631.5	0.995264226
632	0.99556491
632.5	0.995865594
633	0.996241449
633.5	0.996617304
634	0.996767646
634.5	0.99706833
635	0.997218672
635.5	0.997519357
636	0.99774487
636.5	0.997895212
637	0.998120725
637.5	0.998346238
638	0.998571751
638.5	0.998571751
639	0.998797264
639.5	0.999022777
640	0.999097948
640.5	0.999173119
641	0.999473803
641.5	0.999398632
642	0.999548974
642.5	0.999624145
643	0.999774487
643.5	0.999774487
644	0.999774487
644.5	0.999849658
645	1
645.5	0.999849658
646	0.999924829
646.5	0.999849658
647	0.999849658
647.5	0.999849658
648	0.999699316
648.5	0.999774487
649	0.999699316
649.5	0.999699316
650	0.999624145
650.5	0.999473803
651	0.999473803
651.5	0.999323461
652	0.999097948
652.5	0.999097948
653	0.998797264
653.5	0.998646922
654	0.998571751
654.5	0.998346238
655	0.998120725
655.5	0.997970383
656	0.99774487
656.5	0.997519357
657	0.997293843
657.5	0.996917988
658	0.996842817
658.5	0.996617304
659	0.996091107
659.5	0.995940765
660	0.995640081
660.5	0.995339397
661	0.994963542
661.5	0.9948132
662	0.994287003
662.5	0.99406149
663	0.993610464
663.5	0.993234609
664	0.992858754
664.5	0.992482899
665	0.992182215
665.5	0.991580846
666	0.991204991
666.5	0.990904307
667	0.990453281
667.5	0.989776742
668	0.989400887
668.5	0.98887469
669	0.988273322
669.5	0.987747125
670	0.987296099
670.5	0.986694731
671	0.986168533
671.5	0.985642336
672	0.984965797
672.5	0.984289258
673	0.983838232
673.5	0.983161693
674	0.982409983
674.5	0.981658273
675	0.980981733
675.5	0.980380365
676	0.979553484
676.5	0.978876945
677	0.978050064
677.5	0.977373525
678	0.976546644
678.5	0.975644591
679	0.974892881
679.5	0.973990829
680	0.973088777
680.5	0.972337067
681	0.971284673
681.5	0.970457791
682	0.969480568
682.5	0.968503345
683	0.967526122
683.5	0.966548899
684	0.965496505
684.5	0.964293768
685	0.963391716
685.5	0.962339322
686	0.961211757
686.5	0.960009021
687	0.958956626
687.5	0.957678719
688	0.956701496
688.5	0.95549876
689	0.954220852
689.5	0.952867774
690	0.951740209
690.5	0.95031196
691	0.949034052
691.5	0.947680974
692	0.946252725
692.5	0.944899647
693	0.943321055
693.5	0.942118319
694	0.940614899
694.5	0.939036308
695	0.937532887
695.5	0.935954296
696	0.934375705
696.5	0.932721942
697	0.931143351
697.5	0.92956476
698	0.927835827
698.5	0.926031722
699	0.92437796
699.5	0.922649027
700	0.921145606
700.5	0.919040818
701	0.917161543
701.5	0.915357438
702	0.913553334
702.5	0.911674058
703	0.909794783
703.5	0.907765166
704	0.905735548
704.5	0.903781102
705	0.901751485
705.5	0.899797038
706	0.89769225
706.5	0.895587461
707	0.893482673
707.5	0.891302714
708	0.889122754
708.5	0.886942795
709	0.884612493
709.5	0.882357363
710	0.880027062
710.5	0.877771931
711	0.875366459
711.5	0.872885815
712	0.870480343
712.5	0.86807487
713	0.865519056
713.5	0.863113583
714	0.86063294
714.5	0.858077125
715	0.85544614
715.5	0.852739983
716	0.850108998
716.5	0.84732767
717	0.844621514
717.5	0.841689844
718	0.838983688
718.5	0.835976847
719	0.833120349
719.5	0.830188679
720	0.827332181
720.5	0.824250169
721	0.8213185
721.5	0.818161317
722	0.815079305
722.5	0.811997294
723	0.808915282
723.5	0.8057581
724	0.802525746
724.5	0.799368563
725	0.796061039
725.5	0.792828685
726	0.789596332
726.5	0.786363978
727	0.783056453
727.5	0.779899271
728	0.776516575
728.5	0.773209051
729	0.769976697
729.5	0.76651883
730	0.763136135
730.5	0.759678268
731	0.75614523
731.5	0.752687364
732	0.749229497
732.5	0.74577163
733	0.742238593
733.5	0.738780726
734	0.735172517
734.5	0.73163948
735	0.728031271
735.5	0.724347891
736	0.720814854
736.5	0.717056303
737	0.713448094
737.5	0.709689544
738	0.706006164
738.5	0.702247613
739	0.698564234
739.5	0.694880854
740	0.691122303
740.5	0.687438924
741	0.683680373
741.5	0.679996993
742	0.676313613
742.5	0.672705405
743	0.668871683
743.5	0.665113132
744	0.661354582
744.5	0.65752086
745	0.653687138
745.5	0.649928588
746	0.646094866
746.5	0.642336315
747	0.638502593
747.5	0.634744043
748	0.630910321
748.5	0.62715177
749	0.623167707
749.5	0.619258814
750	0.615500263
750.5	0.611516199
751	0.607607307
751.5	0.603623243
752	0.59971435
752.5	0.595805457
753	0.591896565
753.5	0.587912501
754	0.584003608
754.5	0.580094715
755	0.576185823
755.5	0.572352101
756	0.568518379
756.5	0.564609487
757	0.560775765
757.5	0.556791701
758	0.552957979
758.5	0.549124258
759	0.545215365
759.5	0.541306472
760	0.537472751
760.5	0.533563858
761	0.529730136
761.5	0.525896414
762	0.522062693
762.5	0.5181538
763	0.514244907
763.5	0.510336014
764	0.506502293
764.5	0.5025934
765	0.498684507
765.5	0.494850786
766	0.491017064
766.5	0.487108171
767	0.483274449
767.5	0.479440728
768	0.475607006
768.5	0.471848455
769	0.468014734
769.5	0.464256183
770	0.460572803
770.5	0.456889423
771	0.453055702
771.5	0.449372322
772	0.445613771
772.5	0.441930392
773	0.438247012
773.5	0.434563632
774	0.430955424
774.5	0.427347215
775	0.423739006
775.5	0.420055627
776	0.416447418
776.5	0.412839209
777	0.409306172
777.5	0.405697963
778	0.402089754
778.5	0.398556717
779	0.394948508
779.5	0.39141547
780	0.387882433
780.5	0.384349395
781	0.380741186
781.5	0.37728332
782	0.373900624
782.5	0.370367586
783	0.366984891
783.5	0.363677366
784	0.360369841
