[nm]	norm A
	
350	0.488563159
350.5	0.494444963
351	0.499393147
351.5	0.504808141
352	0.509849687
352.5	0.515171319
353	0.520586313
353.5	0.526374755
354	0.531883111
354.5	0.537484829
355	0.543179909
355.5	0.548781626
356	0.554943516
356.5	0.560545234
357	0.566333676
357.5	0.572588927
358	0.577723835
358.5	0.584165811
359	0.589954253
359.5	0.596116142
360	0.602464756
360.5	0.608906731
361	0.615068621
361.5	0.620857063
362	0.627579124
362.5	0.633647652
363	0.640369713
363.5	0.645971431
364	0.652973579
364.5	0.659135468
365	0.666417701
365.5	0.672112781
366	0.679488376
366.5	0.685650266
367	0.691905518
367.5	0.699841285
368	0.706189898
368.5	0.712538512
369	0.719447297
369.5	0.726822892
370	0.731210905
370.5	0.738679862
371	0.745308561
371.5	0.752404071
372	0.758939408
372.5	0.765941555
373	0.772103445
373.5	0.778825506
374	0.785734292
374.5	0.792456353
375	0.798804967
375.5	0.804593409
376	0.810942022
376.5	0.818224255
377	0.824759593
377.5	0.830734759
378	0.837176734
378.5	0.842311642
379	0.848660256
379.5	0.854915507
380	0.85977033
380.5	0.865372047
381	0.871160489
381.5	0.876668845
382	0.881617029
382.5	0.887685557
383	0.892540379
383.5	0.897862011
384	0.902996919
384.5	0.907478293
385	0.912426477
385.5	0.917001214
386	0.921949398
386.5	0.925683876
387	0.930912146
387.5	0.934553263
388	0.939127999
388.5	0.942862478
389	0.946036785
389.5	0.950331435
390	0.953972552
390.5	0.95724022
391	0.960601251
391.5	0.964055644
392	0.966669779
392.5	0.970217533
393	0.972551582
393.5	0.975632527
394	0.977686491
394.5	0.980207264
395	0.982541313
395.5	0.984875362
396	0.986742601
396.5	0.98860984
397	0.990290356
397.5	0.991877509
398	0.993091215
398.5	0.994958454
399	0.995892074
399.5	0.996825693
400	0.997385865
400.5	0.997852675
401	0.998786294
401.5	0.999253104
402	0.999346466
402.5	1
403	1
403.5	0.999719914
404	0.999906638
404.5	0.998973018
405	0.998412847
405.5	0.998319485
406	0.996919055
406.5	0.996358883
407	0.995611988
407.5	0.994211558
408	0.992811129
408.5	0.991223975
409	0.989823546
409.5	0.988329754
410	0.985902343
410.5	0.98384838
411	0.981887779
411.5	0.979273644
412	0.977126319
412.5	0.97479227
413	0.972084773
413.5	0.968817104
