[nm]	norm A
	
350	0.451674037
350.5	0.454832596
351	0.457359444
351.5	0.45925458
352	0.461149716
352.5	0.463676563
353	0.465571699
353.5	0.468098547
354	0.470625395
354.5	0.473152243
355	0.476942514
355.5	0.478205938
356	0.480732786
356.5	0.483891346
357	0.487681617
357.5	0.488945041
358	0.491471889
358.5	0.493998737
359	0.497789008
359.5	0.500947568
360	0.50473784
360.5	0.507896399
361	0.510423247
361.5	0.514213519
362	0.515476943
362.5	0.519898926
363	0.521794062
363.5	0.525584334
364	0.528111181
364.5	0.531901453
365	0.535060013
365.5	0.536955148
366	0.538218572
366.5	0.543272268
367	0.545799116
367.5	0.549589387
368	0.552116235
368.5	0.555906507
369	0.558433354
369.5	0.561591914
370	0.56348705
370.5	0.567277322
371	0.571699305
371.5	0.574857865
372	0.576753001
372.5	0.581174984
373	0.58307012
373.5	0.585596968
374	0.590018951
374.5	0.593177511
375	0.597599495
375.5	0.59949463
376	0.604548326
376.5	0.605180038
377	0.60897031
377.5	0.612760581
378	0.616550853
378.5	0.619709413
379	0.623499684
379.5	0.626658244
380	0.631080227
380.5	0.633607075
381	0.636133923
381.5	0.639924195
382	0.643714466
382.5	0.647504738
383	0.651295009
383.5	0.653821857
384	0.658243841
384.5	0.662034112
385	0.66456096
385.5	0.668351232
386	0.672773215
386.5	0.675931775
387	0.679090335
387.5	0.682880606
388	0.68730259
388.5	0.691092862
389	0.694251421
389.5	0.697409981
390	0.701200253
390.5	0.704358812
391	0.708149084
391.5	0.711307644
392	0.715729627
392.5	0.718256475
393	0.723310171
393.5	0.725205306
394	0.72962729
394.5	0.733417562
395	0.736576121
395.5	0.740366393
396	0.744156665
396.5	0.747315224
397	0.751105496
397.5	0.755527479
398	0.758686039
398.5	0.761212887
399	0.764371447
399.5	0.76879343
400	0.771320278
400.5	0.77511055
401	0.778269109
401.5	0.780164245
402	0.784586229
402.5	0.787744788
403	0.790271636
403.5	0.793430196
404	0.795957044
404.5	0.799747315
405	0.802274163
405.5	0.804801011
406	0.807327858
406.5	0.810486418
407	0.813013266
407.5	0.814908402
408	0.818066961
408.5	0.819962097
409	0.823120657
409.5	0.825015793
410	0.827542641
410.5	0.829437776
411	0.832596336
411.5	0.83385976
412	0.835123184
412.5	0.837650032
413	0.840176879
413.5	0.842703727
414	0.843967151
414.5	0.845230575
415	0.847125711
415.5	0.849020846
416	0.850915982
416.5	0.852179406
417	0.85344283
417.5	0.855337966
418	0.85660139
418.5	0.858496526
419	0.859759949
419.5	0.860391661
420	0.862286797
420.5	0.864181933
421	0.865445357
421.5	0.866077069
422	0.867340493
422.5	0.868603917
423	0.869235629
423.5	0.871130764
424	0.872394188
424.5	0.873657612
425	0.874921036
425.5	0.875552748
426	0.876816172
426.5	0.877447884
427	0.878711308
427.5	0.87934302
428	0.881238155
428.5	0.881238155
429	0.883133291
429.5	0.883765003
430	0.885028427
430.5	0.885028427
431	0.886291851
431.5	0.887555275
432	0.888186987
