[nm]	norm A
	
350	0.229753835
350.5	0.232393864
351	0.23496254
351.5	0.237459864
352	0.239957189
352.5	0.242597217
353	0.245165894
353.5	0.248019979
354	0.251016768
354.5	0.253870853
355	0.256582233
355.5	0.259293614
356	0.26250446
356.5	0.265144488
357	0.268355334
357.5	0.271209418
358	0.274206208
358.5	0.277417053
359	0.280271138
359.5	0.28369604
360	0.286692829
360.5	0.290046379
361	0.29311452
361.5	0.296182661
362	0.299607563
362.5	0.302675705
363	0.305957902
363.5	0.309382804
364	0.312522298
364.5	0.316161256
365	0.319372101
365.5	0.322797003
366	0.326150553
366.5	0.329646807
367	0.333000357
367.5	0.336853371
368	0.34049233
368.5	0.344488049
369	0.348055655
369.5	0.351765965
370	0.355119515
370.5	0.358901177
371	0.362896896
371.5	0.367178024
372	0.371173742
372.5	0.375026757
373	0.379093828
373.5	0.383374955
374	0.387870139
374.5	0.392650731
375	0.396931859
375.5	0.401569747
376	0.406493043
376.5	0.410988227
377	0.41612558
377.5	0.421262933
378	0.426186229
378.5	0.431537638
379	0.436889047
379.5	0.442525865
380	0.447877274
380.5	0.453728148
381	0.459579022
381.5	0.465715305
382	0.472065644
382.5	0.478415983
383	0.48469497
383.5	0.491116661
384	0.497966465
384.5	0.504602212
385	0.511523368
385.5	0.518373172
386	0.525579736
386.5	0.532714948
387	0.539636104
387.5	0.54655726
388	0.553906529
388.5	0.561184445
389	0.568176953
389.5	0.575098109
390	0.582304674
390.5	0.588940421
391	0.596218337
391.5	0.602640029
392	0.608990367
392.5	0.615412059
393	0.621334285
393.5	0.627256511
394	0.633036033
394.5	0.638102034
395	0.642953978
395.5	0.647663218
396	0.651730289
396.5	0.655654656
397	0.658865501
397.5	0.66186229
398	0.664430967
398.5	0.66621477
399	0.668283981
399.5	0.669211559
400	0.669639672
400.5	0.669711024
401	0.669140207
401.5	0.668498038
402	0.666928291
402.5	0.665073136
403	0.66286122
403.5	0.660221192
404	0.657367107
404.5	0.65344274
405	0.650160542
405.5	0.646236176
406	0.641740992
406.5	0.637531217
407	0.632893329
407.5	0.62789868
408	0.623260792
408.5	0.617766679
409	0.612843382
409.5	0.607634677
410	0.602140564
410.5	0.596860507
411	0.591366393
411.5	0.586157688
412	0.580734927
412.5	0.575312166
413	0.569960756
413.5	0.564537995
414	0.559400642
414.5	0.55362112
415	0.548269711
415.5	0.542989654
