[nm]	norm A
	
350	0.245946334
350.5	0.248887932
351	0.251829531
351.5	0.25455589
352	0.257425743
352.5	0.260510834
353	0.263524179
353.5	0.266465777
354	0.270124839
354.5	0.27320993
355	0.27651026
355.5	0.279595351
356	0.283469651
356.5	0.286769981
357	0.290572536
357.5	0.294159851
358	0.297747166
358.5	0.30154972
359	0.305208782
359.5	0.309298321
360	0.313244368
360.5	0.317118668
361	0.3213517
361.5	0.325226001
362	0.329243794
362.5	0.333476826
363	0.337494619
363.5	0.34194289
364	0.346319415
364.5	0.3504807
365	0.355072464
365.5	0.359664227
366	0.364184245
366.5	0.368991247
367	0.374085235
367.5	0.378605252
368	0.383484001
368.5	0.388362749
369	0.393456737
369.5	0.399124695
370	0.403644712
370.5	0.409456163
371	0.414980628
371.5	0.420863826
372	0.426173052
372.5	0.432056249
373	0.438154685
373.5	0.444109628
374	0.449992825
374.5	0.4563065
375	0.462691921
375.5	0.468790357
376	0.475247525
376.5	0.481704692
377	0.488305352
377.5	0.49476252
378	0.501721911
378.5	0.50853781
379	0.51513847
379.5	0.522097862
380	0.528913761
380.5	0.53630363
381	0.542976037
381.5	0.549935428
382	0.557540537
382.5	0.564715167
383	0.571315827
383.5	0.578849189
384	0.585952073
384.5	0.593126704
385	0.600229588
385.5	0.607117233
386	0.613933132
386.5	0.620749031
387	0.627708423
387.5	0.633878605
388	0.640694504
388.5	0.646721194
389	0.652891376
389.5	0.658846319
390	0.664514278
390.5	0.669751758
391	0.674917492
391.5	0.679652748
392	0.684531497
392.5	0.688334051
393	0.692351844
393.5	0.695580428
394	0.698809011
394.5	0.701320132
395	0.703400775
395.5	0.705409671
396	0.70698809
396.5	0.707920792
397	0.708207777
397.5	0.708566509
398	0.707992538
398.5	0.707275075
399	0.705911896
399.5	0.704476969
400	0.702755058
400.5	0.699956952
401	0.697158846
401.5	0.694217248
402	0.690773425
402.5	0.68718611
403	0.683527048
403.5	0.679437509
404	0.674917492
404.5	0.670253982
405	0.665805711
405.5	0.660711723
406	0.656048214
406.5	0.650954226
407	0.645788492
407.5	0.640335773
408	0.6349548
408.5	0.629789066
409	0.624623332
409.5	0.61902712
410	0.613574401
410.5	0.607978189
411	0.602238485
411.5	0.596785766
412	0.590902569
412.5	0.585521596
413	0.579781891
413.5	0.574400918
414	0.568517721
414.5	0.563136748
415	0.557612283
415.5	0.551800832
416	0.546348113
416.5	0.540751901
417	0.535083943
417.5	0.52970297
418	0.523963266
418.5	0.518654039
419	0.513273066
419.5	0.507748601
420	0.502224135
420.5	0.496914909
421	0.491749175
421.5	0.486368202
422	0.481058975
422.5	0.475893241
423	0.470727508
423.5	0.465777012
424	0.460539532
424.5	0.45573253
425	0.450853781
425.5	0.446046779
426	0.441311522
426.5	0.436648013
427	0.432127995
427.5	0.427536232
428	0.423231454
428.5	0.418854929
429	0.414621897
429.5	0.410604104
430	0.406442818
430.5	0.402425025
431	0.398622471
431.5	0.394604678
432	0.391089109
432.5	0.387358301
433	0.383770986
433.5	0.380183671
434	0.376739848
434.5	0.373367772
435	0.370067442
