Labels,Em-190,
Type,Emission Scan,
Comment,,
Start,420.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,395.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.7499790,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.99998826,
Detector,PMT980,

420.00,2.39482910E+4,
421.00,2.83989004E+4,
422.00,3.62555625E+4,
423.00,4.47495000E+4,
424.00,5.39914336E+4,
425.00,6.68106797E+4,
426.00,7.78328906E+4,
427.00,8.94918906E+4,
428.00,1.02571047E+5,
429.00,1.15380922E+5,
430.00,1.30593461E+5,
431.00,1.43431578E+5,
432.00,1.57708734E+5,
433.00,1.68539219E+5,
434.00,1.83374641E+5,
435.00,1.93099750E+5,
436.00,2.05268172E+5,
437.00,2.15876016E+5,
438.00,2.26479688E+5,
439.00,2.33370219E+5,
440.00,2.40869547E+5,
441.00,2.47339141E+5,
442.00,2.52978328E+5,
443.00,2.58246875E+5,
444.00,2.63816219E+5,
445.00,2.65489813E+5,
446.00,2.63015125E+5,
447.00,2.65816688E+5,
448.00,2.67457219E+5,
449.00,2.66741219E+5,
450.00,2.62654188E+5,
451.00,2.59090359E+5,
452.00,2.54319234E+5,
453.00,2.51950406E+5,
454.00,2.44711750E+5,
455.00,2.40449516E+5,
456.00,2.35239828E+5,
457.00,2.28265234E+5,
458.00,2.18932281E+5,
459.00,2.13324328E+5,
460.00,2.03965547E+5,
461.00,1.96344047E+5,
462.00,1.91351375E+5,
463.00,1.82585609E+5,
464.00,1.73916281E+5,
465.00,1.69421438E+5,
466.00,1.58760984E+5,
467.00,1.51835391E+5,
468.00,1.46529922E+5,
469.00,1.39604328E+5,
470.00,1.35181078E+5,
471.00,1.29134383E+5,
472.00,1.25799414E+5,
473.00,1.22146703E+5,
474.00,1.17555594E+5,
475.00,1.16685234E+5,
476.00,1.15211570E+5,
477.00,1.15086945E+5,
478.00,1.16988297E+5,
479.00,1.18567539E+5,
480.00,1.23958547E+5,
481.00,1.30290391E+5,
482.00,1.35631734E+5,
483.00,1.44783359E+5,
484.00,1.54261391E+5,
485.00,1.68033984E+5,
486.00,1.82087031E+5,
487.00,1.95516125E+5,
488.00,2.12366188E+5,
489.00,2.30422609E+5,
490.00,2.49827797E+5,
491.00,2.71899625E+5,
492.00,2.98054125E+5,
493.00,3.17162375E+5,
494.00,3.42418875E+5,
495.00,3.70433500E+5,
496.00,3.95249875E+5,
497.00,4.22448063E+5,
498.00,4.49471125E+5,
499.00,4.80663531E+5,
500.00,5.08766031E+5,
501.00,5.36743688E+5,
502.00,5.67486875E+5,
503.00,5.99448250E+5,
504.00,6.20135750E+5,
505.00,6.53896375E+5,
506.00,6.77618438E+5,
507.00,7.10281250E+5,
508.00,7.28623500E+5,
509.00,7.55052500E+5,
510.00,7.75147063E+5,
511.00,8.05284188E+5,
512.00,8.20020375E+5,
513.00,8.42719563E+5,
514.00,8.59323563E+5,
515.00,8.77522750E+5,
516.00,8.88931625E+5,
517.00,9.05179063E+5,
518.00,9.24062625E+5,
519.00,9.33512063E+5,
520.00,9.39150438E+5,
521.00,9.43988375E+5,
522.00,9.59154875E+5,
523.00,9.58945500E+5,
524.00,9.54509625E+5,
525.00,9.67234500E+5,
526.00,9.66909500E+5,
527.00,9.67358625E+5,
528.00,9.63516875E+5,
529.00,9.65537250E+5,
530.00,9.53698313E+5,
531.00,9.53600938E+5,
532.00,9.38357000E+5,
533.00,9.31541875E+5,
534.00,9.34086313E+5,
535.00,9.24472500E+5,
536.00,9.09938813E+5,
537.00,8.93357875E+5,
538.00,8.86104438E+5,
539.00,8.79145813E+5,
540.00,8.69936375E+5,
541.00,8.56165625E+5,
542.00,8.44132313E+5,
543.00,8.25853625E+5,
544.00,8.10365688E+5,
545.00,8.00260438E+5,
546.00,7.85730250E+5,
547.00,7.65003500E+5,
548.00,7.51519563E+5,
549.00,7.35226188E+5,
550.00,7.20007438E+5,
551.00,7.06305813E+5,
552.00,6.84446688E+5,
553.00,6.76292250E+5,
554.00,6.61087625E+5,
555.00,6.39440500E+5,
556.00,6.29524063E+5,
557.00,6.16159813E+5,
558.00,5.97468625E+5,
559.00,5.78323938E+5,
560.00,5.65020000E+5,
561.00,5.51671625E+5,
562.00,5.34914438E+5,
563.00,5.21180813E+5,
564.00,5.07585156E+5,
565.00,4.92140000E+5,
566.00,4.74007938E+5,
567.00,4.62283344E+5,
568.00,4.48325500E+5,
569.00,4.35156625E+5,
570.00,4.20554813E+5,
571.00,4.11209063E+5,
572.00,3.95429969E+5,
573.00,3.84255406E+5,
574.00,3.71939750E+5,
575.00,3.62275469E+5,
576.00,3.48534156E+5,
577.00,3.31745031E+5,
578.00,3.26332094E+5,
579.00,3.16630469E+5,
580.00,3.05562313E+5,
581.00,2.91630469E+5,
582.00,2.84429250E+5,
583.00,2.74609875E+5,
584.00,2.67914656E+5,
585.00,2.59870703E+5,
586.00,2.52055016E+5,
587.00,2.44920016E+5,
588.00,2.34364156E+5,
589.00,2.28480203E+5,
590.00,2.22565219E+5,
591.00,2.17294000E+5,
592.00,2.14552906E+5,
593.00,2.08573484E+5,
594.00,2.00631313E+5,
595.00,1.97150422E+5,
596.00,1.94548750E+5,
597.00,1.92128641E+5,
598.00,1.86835734E+5,
599.00,1.83501125E+5,
600.00,1.80726969E+5,
601.00,1.77782859E+5,
602.00,1.77153000E+5,
603.00,1.75147813E+5,
604.00,1.72434031E+5,
605.00,1.68854109E+5,
606.00,1.69712156E+5,
607.00,1.68444250E+5,
608.00,1.65054016E+5,
609.00,1.69175234E+5,
610.00,1.66168031E+5,
611.00,1.63537531E+5,
612.00,1.64633891E+5,
613.00,1.60325844E+5,
614.00,1.55231875E+5,
615.00,1.60350031E+5,
616.00,1.58312766E+5,
617.00,1.56955016E+5,
618.00,1.56436094E+5,
619.00,1.56800422E+5,
620.00,1.50054172E+5,
621.00,1.50327109E+5,
622.00,1.49225672E+5,
623.00,1.52403219E+5,
624.00,1.46759734E+5,
625.00,1.47704578E+5,
626.00,1.47544156E+5,
627.00,1.43713125E+5,
628.00,1.39035875E+5,
629.00,1.37810781E+5,
630.00,1.38462625E+5,
631.00,1.33623094E+5,
632.00,1.30870438E+5,
633.00,1.28633297E+5,
634.00,1.27812445E+5,
635.00,1.28335219E+5,
636.00,1.22081703E+5,
637.00,1.22042656E+5,
638.00,1.19411305E+5,
639.00,1.15050258E+5,
640.00,1.15606438E+5,
641.00,1.09964992E+5,
642.00,1.09647953E+5,
643.00,1.02735055E+5,
644.00,1.02807766E+5,
645.00,9.67596016E+4,
646.00,9.35491406E+4,
647.00,9.69175859E+4,
648.00,8.98934609E+4,
649.00,8.96473359E+4,
650.00,8.65206406E+4,
651.00,8.10847422E+4,
652.00,7.73135781E+4,
653.00,7.77505234E+4,
654.00,7.61566875E+4,
655.00,7.43430938E+4,
656.00,7.02617266E+4,
657.00,7.00250625E+4,
658.00,6.73892188E+4,
659.00,6.14057148E+4,
660.00,6.51524414E+4,
661.00,6.07395781E+4,
662.00,5.95142500E+4,
663.00,5.39383945E+4,
664.00,5.30314219E+4,
665.00,5.28632578E+4,
666.00,5.00675898E+4,
667.00,4.70726406E+4,
668.00,4.38968672E+4,
669.00,4.34351367E+4,
670.00,4.32972969E+4,
671.00,4.06591523E+4,
672.00,3.90717773E+4,
673.00,3.61037773E+4,
674.00,3.63288828E+4,
675.00,3.48287227E+4,
676.00,3.21952402E+4,
677.00,3.00650234E+4,
678.00,3.13800195E+4,
679.00,2.93391992E+4,
680.00,2.86019883E+4,
681.00,2.77971055E+4,
682.00,2.70674727E+4,
683.00,2.38441523E+4,
684.00,2.36120684E+4,
685.00,2.36544238E+4,
686.00,1.98752832E+4,
687.00,2.10839785E+4,
688.00,1.91443262E+4,
689.00,1.85356797E+4,
690.00,1.78161543E+4,
691.00,1.72069004E+4,
692.00,1.61404922E+4,
693.00,1.60614199E+4,
694.00,1.44132920E+4,
695.00,1.36657549E+4,
696.00,1.30174941E+4,
697.00,1.36909219E+4,
698.00,1.07161904E+4,
699.00,1.09151484E+4,
700.00,1.01957119E+4,
