Labels,Em-78,
Type,Emission Scan,
Comment,,
Start,420.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,395.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.7499790,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.99998826,
Detector,PMT980,

420.00,2.81640332E+3,
421.00,2.53601025E+3,
422.00,3.40246143E+3,
423.00,3.43203247E+3,
424.00,4.12815283E+3,
425.00,4.59010449E+3,
426.00,5.14118848E+3,
427.00,5.88960059E+3,
428.00,6.65235791E+3,
429.00,7.03933301E+3,
430.00,7.98485254E+3,
431.00,8.09063330E+3,
432.00,9.46516113E+3,
433.00,1.00556680E+4,
434.00,1.05912490E+4,
435.00,1.15912705E+4,
436.00,1.21841191E+4,
437.00,1.28505898E+4,
438.00,1.36508848E+4,
439.00,1.37815459E+4,
440.00,1.45639092E+4,
441.00,1.57637207E+4,
442.00,1.60559736E+4,
443.00,1.66613457E+4,
444.00,1.77015430E+4,
445.00,1.76345801E+4,
446.00,1.81164082E+4,
447.00,1.90180352E+4,
448.00,1.99567715E+4,
449.00,1.99990254E+4,
450.00,2.08489746E+4,
451.00,2.10152422E+4,
452.00,2.20696816E+4,
453.00,2.27663105E+4,
454.00,2.24840762E+4,
455.00,2.39193086E+4,
456.00,2.53344863E+4,
457.00,2.61056641E+4,
458.00,2.73796328E+4,
459.00,2.82730645E+4,
460.00,2.98338906E+4,
461.00,3.18864063E+4,
462.00,3.18162070E+4,
463.00,3.40026055E+4,
464.00,3.61424453E+4,
465.00,4.00533477E+4,
466.00,4.32453789E+4,
467.00,4.74099805E+4,
468.00,5.13839258E+4,
469.00,5.72651914E+4,
470.00,6.03410352E+4,
471.00,6.63791172E+4,
472.00,7.36428906E+4,
473.00,8.21118281E+4,
474.00,8.88992734E+4,
475.00,9.66381250E+4,
476.00,1.07180508E+5,
477.00,1.19961945E+5,
478.00,1.28618883E+5,
479.00,1.38927125E+5,
480.00,1.54081266E+5,
481.00,1.68255750E+5,
482.00,1.81189688E+5,
483.00,1.99273688E+5,
484.00,2.14356609E+5,
485.00,2.30348531E+5,
486.00,2.46219203E+5,
487.00,2.68028563E+5,
488.00,2.83070781E+5,
489.00,3.02347469E+5,
490.00,3.24878031E+5,
491.00,3.45553813E+5,
492.00,3.63480063E+5,
493.00,3.88542406E+5,
494.00,4.08745563E+5,
495.00,4.26054688E+5,
496.00,4.51623313E+5,
497.00,4.70996750E+5,
498.00,4.92397438E+5,
499.00,5.14037000E+5,
500.00,5.35235875E+5,
501.00,5.54030188E+5,
502.00,5.71462313E+5,
503.00,5.94103000E+5,
504.00,6.10428375E+5,
505.00,6.30786938E+5,
506.00,6.47046750E+5,
507.00,6.66550125E+5,
508.00,6.79654063E+5,
509.00,6.95381250E+5,
510.00,7.12899438E+5,
511.00,7.28824563E+5,
512.00,7.39962125E+5,
513.00,7.52363125E+5,
514.00,7.65512938E+5,
515.00,7.75319188E+5,
516.00,7.82013625E+5,
517.00,7.93843375E+5,
518.00,7.98973625E+5,
519.00,7.98792313E+5,
520.00,8.09361750E+5,
521.00,8.14805500E+5,
522.00,8.15797250E+5,
523.00,8.18588250E+5,
524.00,8.18197250E+5,
525.00,8.10057063E+5,
526.00,8.18378938E+5,
527.00,8.18035500E+5,
528.00,8.12011688E+5,
529.00,8.10622188E+5,
530.00,8.09221813E+5,
531.00,8.01400438E+5,
532.00,8.01524063E+5,
533.00,7.98491813E+5,
534.00,7.84645500E+5,
535.00,7.81718250E+5,
536.00,7.66904500E+5,
537.00,7.62578938E+5,
538.00,7.52404375E+5,
539.00,7.50435750E+5,
540.00,7.34667188E+5,
541.00,7.23403188E+5,
542.00,7.17389188E+5,
543.00,7.08262500E+5,
544.00,6.95810500E+5,
545.00,6.81320313E+5,
546.00,6.72042625E+5,
547.00,6.64245875E+5,
548.00,6.51274250E+5,
549.00,6.42568813E+5,
550.00,6.27949313E+5,
551.00,6.17100188E+5,
552.00,6.04786688E+5,
553.00,5.91814250E+5,
554.00,5.74369375E+5,
555.00,5.64740500E+5,
556.00,5.59760938E+5,
557.00,5.36251938E+5,
558.00,5.36128875E+5,
559.00,5.24734938E+5,
560.00,5.11471875E+5,
561.00,4.89611156E+5,
562.00,4.86256906E+5,
563.00,4.71536469E+5,
564.00,4.60139000E+5,
565.00,4.51332500E+5,
566.00,4.41639938E+5,
567.00,4.28839906E+5,
568.00,4.16888250E+5,
569.00,4.07037375E+5,
570.00,3.98157438E+5,
571.00,3.82592250E+5,
572.00,3.73466313E+5,
573.00,3.67085438E+5,
574.00,3.59774531E+5,
575.00,3.48490094E+5,
576.00,3.38443344E+5,
577.00,3.28936625E+5,
578.00,3.19892000E+5,
579.00,3.14709500E+5,
580.00,3.04937188E+5,
581.00,2.95176094E+5,
582.00,2.87293094E+5,
583.00,2.80473625E+5,
584.00,2.71833469E+5,
585.00,2.60534969E+5,
586.00,2.57687297E+5,
587.00,2.53533063E+5,
588.00,2.43959203E+5,
589.00,2.37433219E+5,
590.00,2.29315203E+5,
591.00,2.29104344E+5,
592.00,2.20091031E+5,
593.00,2.14138875E+5,
594.00,2.13903391E+5,
595.00,2.07052422E+5,
596.00,2.01305875E+5,
597.00,1.94167438E+5,
598.00,1.93413047E+5,
599.00,1.90376219E+5,
600.00,1.83310000E+5,
601.00,1.82103844E+5,
602.00,1.77643703E+5,
603.00,1.70484313E+5,
604.00,1.65472500E+5,
605.00,1.66755469E+5,
606.00,1.61273016E+5,
607.00,1.59232609E+5,
608.00,1.55847844E+5,
609.00,1.49631172E+5,
610.00,1.47801547E+5,
611.00,1.44699734E+5,
612.00,1.40189031E+5,
613.00,1.39865188E+5,
614.00,1.37846859E+5,
615.00,1.36968672E+5,
616.00,1.30147063E+5,
617.00,1.28224227E+5,
618.00,1.29818047E+5,
619.00,1.25435023E+5,
620.00,1.23321234E+5,
621.00,1.22678359E+5,
622.00,1.15798977E+5,
623.00,1.16256047E+5,
624.00,1.15009852E+5,
625.00,1.09333844E+5,
626.00,1.09054266E+5,
627.00,1.05160945E+5,
628.00,1.03950461E+5,
629.00,1.02103656E+5,
630.00,9.98330469E+4,
631.00,9.63451172E+4,
632.00,9.17495625E+4,
633.00,9.29153984E+4,
634.00,9.16802188E+4,
635.00,8.91309375E+4,
636.00,9.05236172E+4,
637.00,8.40145938E+4,
638.00,8.08026484E+4,
639.00,8.02244297E+4,
640.00,8.01231641E+4,
641.00,7.63198750E+4,
642.00,7.43617734E+4,
643.00,7.34626797E+4,
644.00,7.10443047E+4,
645.00,7.01039375E+4,
646.00,6.64706953E+4,
647.00,6.27060000E+4,
648.00,6.14984023E+4,
649.00,6.30976523E+4,
650.00,6.05554297E+4,
651.00,5.78053711E+4,
652.00,5.82420508E+4,
653.00,5.32530586E+4,
654.00,5.28421992E+4,
655.00,5.29732422E+4,
656.00,5.01329102E+4,
657.00,4.85202266E+4,
658.00,4.59225000E+4,
659.00,4.25877773E+4,
660.00,4.72946875E+4,
661.00,4.17269297E+4,
662.00,4.05680625E+4,
663.00,4.34456641E+4,
664.00,4.40604180E+4,
665.00,3.72178477E+4,
666.00,3.68796875E+4,
667.00,3.24167500E+4,
668.00,3.48379961E+4,
669.00,3.12832363E+4,
670.00,3.02112715E+4,
671.00,2.85125078E+4,
672.00,2.88295547E+4,
673.00,2.79169277E+4,
674.00,2.71818008E+4,
675.00,2.71636289E+4,
676.00,2.62829609E+4,
677.00,2.45440195E+4,
678.00,2.15911602E+4,
679.00,2.19765430E+4,
680.00,2.22950469E+4,
681.00,2.13470840E+4,
682.00,1.99114863E+4,
683.00,2.07612168E+4,
684.00,1.79796406E+4,
685.00,1.86093574E+4,
686.00,1.71755273E+4,
687.00,1.62735000E+4,
688.00,1.62610029E+4,
689.00,1.84817969E+4,
690.00,1.50886445E+4,
691.00,1.47438691E+4,
692.00,1.45789395E+4,
693.00,1.39154648E+4,
694.00,1.59919648E+4,
695.00,1.20096367E+4,
696.00,1.28145352E+4,
697.00,1.21373975E+4,
698.00,1.13897119E+4,
699.00,1.01153125E+4,
700.00,1.00888223E+4,
