Labels,Em25,
Type,Emission Scan,
Comment,,
Start,420.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,395.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.7499790,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.99998826,
Detector,PMT980,

420.00,3.60779968E+2,
421.00,4.68544678E+2,
422.00,5.50178955E+2,
423.00,6.40319458E+2,
424.00,7.97613098E+2,
425.00,9.58820313E+2,
426.00,9.77535889E+2,
427.00,1.16263757E+3,
428.00,1.34140417E+3,
429.00,1.54329480E+3,
430.00,1.60965576E+3,
431.00,1.93693530E+3,
432.00,2.06673877E+3,
433.00,2.48582056E+3,
434.00,2.42747241E+3,
435.00,2.55732495E+3,
436.00,2.61532275E+3,
437.00,3.06180664E+3,
438.00,3.58673975E+3,
439.00,3.77299292E+3,
440.00,3.97874390E+3,
441.00,3.99665796E+3,
442.00,4.44336377E+3,
443.00,4.97286475E+3,
444.00,5.46316943E+3,
445.00,5.70316357E+3,
446.00,6.58198828E+3,
447.00,7.78110693E+3,
448.00,8.23519141E+3,
449.00,9.25614453E+3,
450.00,1.02397275E+4,
451.00,1.16483877E+4,
452.00,1.25539521E+4,
453.00,1.31883955E+4,
454.00,1.58043975E+4,
455.00,1.82949395E+4,
456.00,2.03415957E+4,
457.00,2.19799922E+4,
458.00,2.42911348E+4,
459.00,2.66229121E+4,
460.00,3.03818066E+4,
461.00,3.35491914E+4,
462.00,3.69169375E+4,
463.00,4.19702930E+4,
464.00,4.55120781E+4,
465.00,5.00530820E+4,
466.00,5.53465313E+4,
467.00,6.06421875E+4,
468.00,6.60598828E+4,
469.00,7.28508594E+4,
470.00,7.80718750E+4,
471.00,8.50856875E+4,
472.00,9.13675781E+4,
473.00,9.84442969E+4,
474.00,1.07496445E+5,
475.00,1.14875719E+5,
476.00,1.24984711E+5,
477.00,1.32321016E+5,
478.00,1.41331047E+5,
479.00,1.51987234E+5,
480.00,1.58891094E+5,
481.00,1.70660203E+5,
482.00,1.84574656E+5,
483.00,1.92137625E+5,
484.00,2.01870828E+5,
485.00,2.16144328E+5,
486.00,2.28154922E+5,
487.00,2.36631766E+5,
488.00,2.49394875E+5,
489.00,2.58425594E+5,
490.00,2.72068750E+5,
491.00,2.82720031E+5,
492.00,2.97617781E+5,
493.00,3.05034094E+5,
494.00,3.18795938E+5,
495.00,3.31555656E+5,
496.00,3.40346469E+5,
497.00,3.52290469E+5,
498.00,3.63778281E+5,
499.00,3.69042656E+5,
500.00,3.81454938E+5,
501.00,3.92136500E+5,
502.00,3.98585938E+5,
503.00,4.10194625E+5,
504.00,4.20330281E+5,
505.00,4.27549875E+5,
506.00,4.37131875E+5,
507.00,4.42469563E+5,
508.00,4.50902469E+5,
509.00,4.51095969E+5,
510.00,4.61138625E+5,
511.00,4.68775844E+5,
512.00,4.72792875E+5,
513.00,4.81441969E+5,
514.00,4.81954906E+5,
515.00,4.86603000E+5,
516.00,4.91371719E+5,
517.00,4.91484813E+5,
518.00,4.97672813E+5,
519.00,4.96475375E+5,
520.00,5.06336125E+5,
521.00,5.00731281E+5,
522.00,5.07875563E+5,
523.00,5.00939094E+5,
524.00,4.98670750E+5,
525.00,5.00617094E+5,
526.00,4.99117406E+5,
527.00,5.00112313E+5,
528.00,4.94529000E+5,
529.00,4.97325688E+5,
530.00,4.94972906E+5,
531.00,4.91895813E+5,
532.00,4.84951938E+5,
533.00,4.85134844E+5,
534.00,4.81791844E+5,
535.00,4.77183688E+5,
536.00,4.66375906E+5,
537.00,4.69844000E+5,
538.00,4.62755094E+5,
539.00,4.60473844E+5,
540.00,4.54590063E+5,
541.00,4.45518938E+5,
542.00,4.38448188E+5,
543.00,4.35036719E+5,
544.00,4.33335281E+5,
545.00,4.22738469E+5,
546.00,4.23109219E+5,
547.00,4.09595875E+5,
548.00,4.03678844E+5,
549.00,3.98850813E+5,
550.00,3.97078250E+5,
551.00,3.92235188E+5,
552.00,3.81328563E+5,
553.00,3.74693813E+5,
554.00,3.67451500E+5,
555.00,3.60999031E+5,
556.00,3.56536031E+5,
557.00,3.50239188E+5,
558.00,3.37884625E+5,
559.00,3.36607063E+5,
560.00,3.29684250E+5,
561.00,3.25086625E+5,
562.00,3.12689438E+5,
563.00,3.07971063E+5,
564.00,2.98824250E+5,
565.00,2.95402406E+5,
566.00,2.85014094E+5,
567.00,2.86810719E+5,
568.00,2.74492094E+5,
569.00,2.71838906E+5,
570.00,2.60897922E+5,
571.00,2.59210547E+5,
572.00,2.50410250E+5,
573.00,2.46355391E+5,
574.00,2.38895859E+5,
575.00,2.35899703E+5,
576.00,2.27036953E+5,
577.00,2.21390016E+5,
578.00,2.20895406E+5,
579.00,2.12409813E+5,
580.00,2.06474125E+5,
581.00,2.00662891E+5,
582.00,1.95810422E+5,
583.00,1.87425891E+5,
584.00,1.83140063E+5,
585.00,1.77206875E+5,
586.00,1.76064813E+5,
587.00,1.69304406E+5,
588.00,1.61266594E+5,
589.00,1.58923688E+5,
590.00,1.53849844E+5,
591.00,1.52553484E+5,
592.00,1.52450391E+5,
593.00,1.42803234E+5,
594.00,1.37838453E+5,
595.00,1.35388484E+5,
596.00,1.30715727E+5,
597.00,1.27196828E+5,
598.00,1.24247680E+5,
599.00,1.17902813E+5,
600.00,1.19299492E+5,
601.00,1.14087984E+5,
602.00,1.10160141E+5,
603.00,1.05615969E+5,
604.00,1.05764063E+5,
605.00,1.00000883E+5,
606.00,9.87344609E+4,
607.00,9.35144688E+4,
608.00,9.13772109E+4,
609.00,8.93897344E+4,
610.00,8.52861016E+4,
611.00,8.52137266E+4,
612.00,7.85769219E+4,
613.00,7.83365938E+4,
614.00,7.54128750E+4,
615.00,7.22461328E+4,
616.00,6.98430547E+4,
617.00,6.80886875E+4,
618.00,6.65319844E+4,
619.00,6.59337891E+4,
620.00,6.39144727E+4,
621.00,6.07248359E+4,
622.00,5.99257461E+4,
623.00,5.68263359E+4,
624.00,5.45966563E+4,
625.00,5.14153125E+4,
626.00,5.23096289E+4,
627.00,5.05897617E+4,
628.00,4.70392461E+4,
629.00,4.80946523E+4,
630.00,4.43490469E+4,
631.00,4.45603555E+4,
632.00,4.55571992E+4,
633.00,4.28406133E+4,
634.00,3.92307109E+4,
635.00,3.96957305E+4,
636.00,3.74667500E+4,
637.00,3.76198242E+4,
638.00,3.63777188E+4,
639.00,3.35831211E+4,
640.00,3.34165625E+4,
641.00,3.14619336E+4,
642.00,3.10021406E+4,
643.00,3.13395820E+4,
644.00,2.87514512E+4,
645.00,2.97960332E+4,
646.00,2.65160352E+4,
647.00,2.51804316E+4,
648.00,2.53758125E+4,
649.00,2.53759824E+4,
650.00,2.42738438E+4,
651.00,2.32341816E+4,
652.00,2.40426348E+4,
653.00,2.24045195E+4,
654.00,2.17451660E+4,
655.00,2.10538457E+4,
656.00,2.04046484E+4,
657.00,2.00452539E+4,
658.00,1.89640039E+4,
659.00,1.79625938E+4,
660.00,1.79778242E+4,
661.00,1.64862520E+4,
662.00,1.74221875E+4,
663.00,1.53101631E+4,
664.00,1.52000439E+4,
665.00,1.34070811E+4,
666.00,1.43926143E+4,
667.00,1.41514473E+4,
668.00,1.38338223E+4,
669.00,1.45703926E+4,
670.00,1.37590420E+4,
671.00,1.27322061E+4,
672.00,1.26082051E+4,
673.00,1.26828281E+4,
674.00,1.19985225E+4,
675.00,1.11644678E+4,
676.00,1.01886152E+4,
677.00,1.01169717E+4,
678.00,9.33043652E+3,
679.00,9.22560156E+3,
680.00,1.05332451E+4,
681.00,9.52637109E+3,
682.00,9.04753125E+3,
683.00,8.74251270E+3,
684.00,8.68061621E+3,
685.00,8.21218457E+3,
686.00,8.37011523E+3,
687.00,7.61002197E+3,
688.00,7.71764746E+3,
689.00,7.61204248E+3,
690.00,6.38767725E+3,
691.00,8.00677100E+3,
692.00,6.16146045E+3,
693.00,7.52936572E+3,
694.00,5.67247998E+3,
695.00,6.00022217E+3,
696.00,6.56849365E+3,
697.00,5.46721973E+3,
698.00,6.31208545E+3,
699.00,6.07615527E+3,
700.00,5.77061426E+3,
