Labels,Em100,
Type,Emission Scan,
Comment,,
Start,420.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,395.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.7499790,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.99998826,
Detector,PMT980,

420.00,2.12146515E+2,
421.00,2.33892075E+2,
422.00,2.94574615E+2,
423.00,2.93130249E+2,
424.00,1.91239044E+2,
425.00,3.49177399E+2,
426.00,2.89506836E+2,
427.00,4.47007416E+2,
428.00,3.39378967E+2,
429.00,3.30645935E+2,
430.00,6.08818237E+2,
431.00,4.92767120E+2,
432.00,5.65494751E+2,
433.00,6.42067444E+2,
434.00,8.13401917E+2,
435.00,6.71230347E+2,
436.00,7.47975769E+2,
437.00,9.13355713E+2,
438.00,9.99614746E+2,
439.00,1.00563965E+3,
440.00,1.10995740E+3,
441.00,1.20806067E+3,
442.00,1.20549609E+3,
443.00,1.58206384E+3,
444.00,1.74704578E+3,
445.00,1.46053674E+3,
446.00,1.97377332E+3,
447.00,2.09592236E+3,
448.00,2.13064941E+3,
449.00,2.88081006E+3,
450.00,2.90424927E+3,
451.00,3.05745581E+3,
452.00,3.27331543E+3,
453.00,3.74010474E+3,
454.00,4.28554834E+3,
455.00,4.94412646E+3,
456.00,5.88836426E+3,
457.00,6.15394043E+3,
458.00,7.24568750E+3,
459.00,7.86077832E+3,
460.00,8.48758691E+3,
461.00,9.11306055E+3,
462.00,9.68713770E+3,
463.00,1.11904277E+4,
464.00,1.18845400E+4,
465.00,1.30071357E+4,
466.00,1.38040371E+4,
467.00,1.60266563E+4,
468.00,1.71865547E+4,
469.00,1.83650332E+4,
470.00,1.94978164E+4,
471.00,2.16616348E+4,
472.00,2.31791836E+4,
473.00,2.42662832E+4,
474.00,2.66101328E+4,
475.00,2.98134316E+4,
476.00,3.17908457E+4,
477.00,3.29866094E+4,
478.00,3.41541992E+4,
479.00,3.64575820E+4,
480.00,3.92832930E+4,
481.00,4.24761445E+4,
482.00,4.54777422E+4,
483.00,4.63630156E+4,
484.00,4.94157617E+4,
485.00,5.20406367E+4,
486.00,5.46337422E+4,
487.00,5.64795352E+4,
488.00,6.02367070E+4,
489.00,6.18384258E+4,
490.00,6.52535273E+4,
491.00,6.87552188E+4,
492.00,7.19047422E+4,
493.00,7.40785000E+4,
494.00,7.64584141E+4,
495.00,8.11735547E+4,
496.00,8.34786172E+4,
497.00,8.50448516E+4,
498.00,8.82992266E+4,
499.00,8.88344609E+4,
500.00,9.41214453E+4,
501.00,9.73546641E+4,
502.00,9.85662656E+4,
503.00,1.01137609E+5,
504.00,1.03926008E+5,
505.00,1.07970797E+5,
506.00,1.10017313E+5,
507.00,1.10362219E+5,
508.00,1.12283875E+5,
509.00,1.15248805E+5,
510.00,1.18178336E+5,
511.00,1.18002500E+5,
512.00,1.21091852E+5,
513.00,1.21881125E+5,
514.00,1.24243203E+5,
515.00,1.25714313E+5,
516.00,1.28272367E+5,
517.00,1.29690305E+5,
518.00,1.27453102E+5,
519.00,1.30688055E+5,
520.00,1.30942680E+5,
521.00,1.33068734E+5,
522.00,1.33058953E+5,
523.00,1.31450516E+5,
524.00,1.33591750E+5,
525.00,1.35836969E+5,
526.00,1.36554859E+5,
527.00,1.36529922E+5,
528.00,1.35216078E+5,
529.00,1.35286703E+5,
530.00,1.36212328E+5,
531.00,1.37540344E+5,
532.00,1.36668531E+5,
533.00,1.34681016E+5,
534.00,1.36739422E+5,
535.00,1.36050328E+5,
536.00,1.34366156E+5,
537.00,1.32371219E+5,
538.00,1.34661609E+5,
539.00,1.33459250E+5,
540.00,1.32225672E+5,
541.00,1.31205563E+5,
542.00,1.30069531E+5,
543.00,1.29009266E+5,
544.00,1.29864953E+5,
545.00,1.27702539E+5,
546.00,1.25048367E+5,
547.00,1.22143242E+5,
548.00,1.22603875E+5,
549.00,1.22481516E+5,
550.00,1.17851836E+5,
551.00,1.18486906E+5,
552.00,1.17981313E+5,
553.00,1.15376906E+5,
554.00,1.15178805E+5,
555.00,1.13148414E+5,
556.00,1.10620906E+5,
557.00,1.11472695E+5,
558.00,1.07037500E+5,
559.00,1.06518578E+5,
560.00,1.07927227E+5,
561.00,1.03264406E+5,
562.00,1.03004227E+5,
563.00,9.92260156E+4,
564.00,1.01433570E+5,
565.00,9.78417734E+4,
566.00,9.60897031E+4,
567.00,9.57208516E+4,
568.00,9.37257969E+4,
569.00,9.17499844E+4,
570.00,9.11378828E+4,
571.00,8.70131953E+4,
572.00,8.51960703E+4,
573.00,8.55656719E+4,
574.00,8.16381797E+4,
575.00,8.14983672E+4,
576.00,8.12215234E+4,
577.00,7.79218984E+4,
578.00,7.64527422E+4,
579.00,7.52060000E+4,
580.00,7.44831016E+4,
581.00,7.13685625E+4,
582.00,7.05467734E+4,
583.00,6.79070469E+4,
584.00,6.73416016E+4,
585.00,6.86015625E+4,
586.00,6.37137813E+4,
587.00,6.35731602E+4,
588.00,6.23297148E+4,
589.00,6.11342070E+4,
590.00,5.69139336E+4,
591.00,5.65816016E+4,
592.00,5.83287188E+4,
593.00,5.45626172E+4,
594.00,5.39025977E+4,
595.00,5.18640195E+4,
596.00,5.13176016E+4,
597.00,5.11164883E+4,
598.00,4.96599375E+4,
599.00,4.91784414E+4,
600.00,4.58610391E+4,
601.00,4.51191016E+4,
602.00,4.46353047E+4,
603.00,4.36043633E+4,
604.00,4.39555703E+4,
605.00,3.88094531E+4,
606.00,4.22554609E+4,
607.00,3.78845625E+4,
608.00,3.97142188E+4,
609.00,3.77867969E+4,
610.00,3.54251758E+4,
611.00,3.67585469E+4,
612.00,3.43078633E+4,
613.00,3.49743086E+4,
614.00,3.13748281E+4,
615.00,3.14681582E+4,
616.00,3.16838203E+4,
617.00,3.12409922E+4,
618.00,2.95616855E+4,
619.00,2.92636836E+4,
620.00,2.82960684E+4,
621.00,2.76666934E+4,
622.00,2.70864336E+4,
623.00,2.59081953E+4,
624.00,2.55326738E+4,
625.00,2.34556230E+4,
626.00,2.44897344E+4,
627.00,2.24019336E+4,
628.00,2.20315020E+4,
629.00,2.33916621E+4,
630.00,1.97431426E+4,
631.00,2.16985508E+4,
632.00,2.07550918E+4,
633.00,1.94405586E+4,
634.00,2.04598223E+4,
635.00,1.92980742E+4,
636.00,1.90240313E+4,
637.00,1.88207207E+4,
638.00,1.81814453E+4,
639.00,1.72006777E+4,
640.00,1.72417148E+4,
641.00,1.58895645E+4,
642.00,1.57068848E+4,
643.00,1.49797090E+4,
644.00,1.53091748E+4,
645.00,1.38159727E+4,
646.00,1.38306025E+4,
647.00,1.51847656E+4,
648.00,1.28675879E+4,
649.00,1.29519795E+4,
650.00,1.24737979E+4,
651.00,1.23113555E+4,
652.00,1.18401504E+4,
653.00,9.19374023E+3,
654.00,1.23056846E+4,
655.00,1.01977920E+4,
656.00,9.91456152E+3,
657.00,1.07333594E+4,
658.00,9.82595313E+3,
659.00,1.00035645E+4,
660.00,1.05970586E+4,
661.00,9.11903711E+3,
662.00,8.64819336E+3,
663.00,7.78121631E+3,
664.00,9.47156641E+3,
665.00,9.91812793E+3,
666.00,8.53029199E+3,
667.00,7.47814648E+3,
668.00,7.28677051E+3,
669.00,7.60771680E+3,
670.00,7.91584180E+3,
671.00,7.89881885E+3,
672.00,6.22102637E+3,
673.00,6.92852344E+3,
674.00,6.17307520E+3,
675.00,6.28523340E+3,
676.00,6.71731543E+3,
677.00,6.91013770E+3,
678.00,4.72674756E+3,
679.00,6.49563818E+3,
680.00,6.26321191E+3,
681.00,6.77460400E+3,
682.00,6.09076416E+3,
683.00,5.22202734E+3,
684.00,5.39089258E+3,
685.00,4.41604199E+3,
686.00,5.54651123E+3,
687.00,4.84459277E+3,
688.00,4.59201318E+3,
689.00,6.03718311E+3,
690.00,4.49002295E+3,
691.00,5.85677246E+3,
692.00,4.72976074E+3,
693.00,4.98028174E+3,
694.00,3.83323682E+3,
695.00,5.56491699E+3,
696.00,4.35260693E+3,
697.00,4.22078027E+3,
698.00,4.41044189E+3,
699.00,4.03494189E+3,
700.00,4.08023291E+3,
