Labels,Ex40,
Type,Excitation Scan,
Comment,,
Start,250.00,
Stop,500.00,
Step,1.00,
Fixed/Offset,520.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.50001854,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.9999765,
Detector,PMT980,

250.00,1.05839588E+6,
251.00,9.98967938E+5,
252.00,8.75119313E+5,
253.00,8.49316688E+5,
254.00,7.19976000E+5,
255.00,6.64654063E+5,
256.00,6.46341938E+5,
257.00,5.68577000E+5,
258.00,5.38826500E+5,
259.00,5.37258750E+5,
260.00,5.13250219E+5,
261.00,5.14275063E+5,
262.00,5.10650344E+5,
263.00,4.72325125E+5,
264.00,5.05721969E+5,
265.00,4.96767156E+5,
266.00,4.71624938E+5,
267.00,4.91905406E+5,
268.00,5.01239500E+5,
269.00,5.24031094E+5,
270.00,5.21057531E+5,
271.00,5.30720188E+5,
272.00,5.37566688E+5,
273.00,5.56902125E+5,
274.00,5.75337125E+5,
275.00,5.83491938E+5,
276.00,5.94200563E+5,
277.00,6.28892750E+5,
278.00,6.39159625E+5,
279.00,6.37789875E+5,
280.00,6.44681438E+5,
281.00,6.80915063E+5,
282.00,6.79323250E+5,
283.00,6.95552813E+5,
284.00,7.09066625E+5,
285.00,7.41042938E+5,
286.00,7.56275188E+5,
287.00,7.66879188E+5,
288.00,7.94230375E+5,
289.00,8.23572125E+5,
290.00,8.24747813E+5,
291.00,8.22006313E+5,
292.00,8.73695563E+5,
293.00,8.75635313E+5,
294.00,8.91435625E+5,
295.00,9.10373188E+5,
296.00,9.47330500E+5,
297.00,9.46549938E+5,
298.00,9.64263875E+5,
299.00,9.85045625E+5,
300.00,1.01922406E+6,
301.00,1.01961881E+6,
302.00,1.04880675E+6,
303.00,1.05818200E+6,
304.00,1.09999600E+6,
305.00,1.09177950E+6,
306.00,1.10448063E+6,
307.00,1.11583250E+6,
308.00,1.14475013E+6,
309.00,1.13268738E+6,
310.00,1.16837713E+6,
311.00,1.16294000E+6,
312.00,1.16703275E+6,
313.00,1.17045263E+6,
314.00,1.17388175E+6,
315.00,1.17843875E+6,
316.00,1.19257425E+6,
317.00,1.18422575E+6,
318.00,1.16526650E+6,
319.00,1.15924638E+6,
320.00,1.16960350E+6,
321.00,1.15457488E+6,
322.00,1.17401300E+6,
323.00,1.17282850E+6,
324.00,1.18765900E+6,
325.00,1.21731300E+6,
326.00,1.25980675E+6,
327.00,1.27290700E+6,
328.00,1.34716363E+6,
329.00,1.40795788E+6,
330.00,1.47882025E+6,
331.00,1.56972050E+6,
332.00,1.65835788E+6,
333.00,1.76263250E+6,
334.00,1.86134238E+6,
335.00,1.95109188E+6,
336.00,2.06328413E+6,
337.00,2.18193900E+6,
338.00,2.26997975E+6,
339.00,2.35923900E+6,
340.00,2.47620575E+6,
341.00,2.56058575E+6,
342.00,2.65808800E+6,
343.00,2.72747225E+6,
344.00,2.80872100E+6,
345.00,2.87492125E+6,
346.00,2.94815850E+6,
347.00,3.00818950E+6,
348.00,3.07279825E+6,
349.00,3.11996900E+6,
350.00,3.14521975E+6,
351.00,3.19169200E+6,
352.00,3.22845650E+6,
353.00,3.27508750E+6,
354.00,3.31098600E+6,
355.00,3.31689875E+6,
356.00,3.36715425E+6,
357.00,3.36817350E+6,
358.00,3.39155175E+6,
359.00,3.43701075E+6,
360.00,3.43324600E+6,
361.00,3.43233725E+6,
362.00,3.43646400E+6,
363.00,3.45002825E+6,
364.00,3.46133100E+6,
365.00,3.43050900E+6,
366.00,3.44500200E+6,
367.00,3.41716350E+6,
368.00,3.38470575E+6,
369.00,3.39505700E+6,
370.00,3.36664700E+6,
371.00,3.33222200E+6,
372.00,3.31466075E+6,
373.00,3.28092000E+6,
374.00,3.28281925E+6,
375.00,3.23716800E+6,
376.00,3.19271550E+6,
377.00,3.17225500E+6,
378.00,3.12628250E+6,
379.00,3.06149775E+6,
380.00,3.03424325E+6,
381.00,2.99558125E+6,
382.00,2.95538575E+6,
383.00,2.93368550E+6,
384.00,2.90633125E+6,
385.00,2.87318425E+6,
386.00,2.82884250E+6,
387.00,2.78697175E+6,
388.00,2.75425025E+6,
389.00,2.70622325E+6,
390.00,2.65220700E+6,
391.00,2.60384875E+6,
392.00,2.58692075E+6,
393.00,2.52750550E+6,
394.00,2.50347300E+6,
395.00,2.43875475E+6,
396.00,2.38576925E+6,
397.00,2.34841275E+6,
398.00,2.33890700E+6,
399.00,2.35754900E+6,
400.00,2.34879450E+6,
401.00,2.33957400E+6,
402.00,2.30633825E+6,
403.00,2.27384975E+6,
404.00,2.22574925E+6,
405.00,2.18559600E+6,
406.00,2.13172600E+6,
407.00,2.09725600E+6,
408.00,2.02797813E+6,
409.00,1.99715388E+6,
410.00,2.06487450E+6,
411.00,2.00471025E+6,
412.00,1.93072588E+6,
413.00,1.88244038E+6,
414.00,1.83650663E+6,
415.00,1.80813238E+6,
416.00,1.76101813E+6,
417.00,1.70510163E+6,
418.00,1.65730700E+6,
419.00,1.57901925E+6,
420.00,1.50905725E+6,
421.00,1.51482150E+6,
422.00,1.50693113E+6,
423.00,1.46589013E+6,
424.00,1.43049575E+6,
425.00,1.38563050E+6,
426.00,1.35422800E+6,
427.00,1.31541788E+6,
428.00,1.28867338E+6,
429.00,1.25292463E+6,
430.00,1.22656025E+6,
431.00,1.18443013E+6,
432.00,1.14891113E+6,
433.00,1.11720988E+6,
434.00,1.08692938E+6,
435.00,1.04749763E+6,
436.00,1.01447131E+6,
437.00,9.84620750E+5,
438.00,9.37937000E+5,
439.00,8.91145125E+5,
440.00,8.90327688E+5,
441.00,8.62034063E+5,
442.00,8.28834375E+5,
443.00,7.82676625E+5,
444.00,7.64121063E+5,
445.00,7.30816813E+5,
446.00,7.05967375E+5,
447.00,6.78382875E+5,
448.00,6.50872500E+5,
449.00,6.10987063E+5,
450.00,4.63191000E+5,
451.00,5.23755406E+5,
452.00,5.19661063E+5,
453.00,4.72301094E+5,
454.00,4.94113813E+5,
