Multi Scans

Labels,Em25,Em-190,Em-78,Em100,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,
Start,420.00,420.00,420.00,420.00,
Stop,700.00,700.00,700.00,700.00,
Step,1.00,1.00,1.00,1.00,
Fixed/Offset,395.00,395.00,395.00,395.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,
Repeats,1,1,1,1,
Dwell Time,0.10,0.10,0.10,0.10,
Lamp,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,
Scan Slit,0.7499790,0.7499790,0.7499790,0.7499790,
Fixed/Offset Polariser,None,None,None,None,
Fixed/Offset Slit,0.99998826,0.99998826,0.99998826,0.99998826,
Detector,PMT980,PMT980,PMT980,PMT980,

420.00,3.60779968E+2,2.39482910E+4,2.81640332E+3,2.12146515E+2,
421.00,4.68544678E+2,2.83989004E+4,2.53601025E+3,2.33892075E+2,
422.00,5.50178955E+2,3.62555625E+4,3.40246143E+3,2.94574615E+2,
423.00,6.40319458E+2,4.47495000E+4,3.43203247E+3,2.93130249E+2,
424.00,7.97613098E+2,5.39914336E+4,4.12815283E+3,1.91239044E+2,
425.00,9.58820313E+2,6.68106797E+4,4.59010449E+3,3.49177399E+2,
426.00,9.77535889E+2,7.78328906E+4,5.14118848E+3,2.89506836E+2,
427.00,1.16263757E+3,8.94918906E+4,5.88960059E+3,4.47007416E+2,
428.00,1.34140417E+3,1.02571047E+5,6.65235791E+3,3.39378967E+2,
429.00,1.54329480E+3,1.15380922E+5,7.03933301E+3,3.30645935E+2,
430.00,1.60965576E+3,1.30593461E+5,7.98485254E+3,6.08818237E+2,
431.00,1.93693530E+3,1.43431578E+5,8.09063330E+3,4.92767120E+2,
432.00,2.06673877E+3,1.57708734E+5,9.46516113E+3,5.65494751E+2,
433.00,2.48582056E+3,1.68539219E+5,1.00556680E+4,6.42067444E+2,
434.00,2.42747241E+3,1.83374641E+5,1.05912490E+4,8.13401917E+2,
435.00,2.55732495E+3,1.93099750E+5,1.15912705E+4,6.71230347E+2,
436.00,2.61532275E+3,2.05268172E+5,1.21841191E+4,7.47975769E+2,
